Country,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lesotho,,12.49935,10.09155,9.36505,10.10045,13.21957,11.10901,12.07966,11.27128,..,11.38968,..,..,..,..,..,..,..,..,..
Liberia,,..,..,..,..,..,..,..,..,..,3.16142,..,..,..,2.75756,..,..,..,..,..
Libya,,2.26417,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,,..,..,..,..,2.46014,2.43333,..,2.05381,1.92119,2.04837,..,..,2.55604,..,..,..,..,..,..
Lithuania,,..,..,5.84038,5.79253,5.10851,5.16916,4.87319,4.82055,4.59055,4.83454,5.57741,5.29903,5.12027,4.76686,4.60726,4.48551,..,..,..
Luxembourg,,..,..,3.5558,..,..,..,..,..,..,..,..,..,..,4.09041,..,3.99439,..,..,..
Madagascar,,2.76755,2.91135,3.25033,2.71621,3.03949,3.2643,3.84817,3.28253,3.36988,2.91041,3.17751,..,2.78112,2.73217,2.08231,..,..,..,..
Malawi,,4.99491,5.24797,4.50898,..,3.21566,..,..,..,..,..,..,3.5398,4.15262,..,5.41617,4.83984,5.60866,4.74857,..
Malaysia,,5.68675,5.97161,7.48447,7.65795,7.50288,5.92388,..,4.48577,4.37254,3.95853,5.97418,4.96645,5.76294,5.73903,5.4812,5.21264,4.97613,4.82754,..
Maldives,,..,..,..,5.79186,5.32407,4.6616,5.01684,4.64524,4.41788,4.47029,5.77493,4.11747,3.5066,3.76038,3.80012,3.47046,4.47869,4.25007,..
Mali,,2.23184,2.97156,2.65845,2.89623,3.8056,3.85922,3.52218,..,..,3.42028,3.87281,3.34389,3.75423,3.47949,3.2828,3.63741,3.80136,..,..
Malta,,..,..,..,3.94924,..,4.46076,..,..,5.98135,5.57061,5.17037,6.45489,7.79388,6.52369,7.87918,7.24964,..,..,..
Marshall Islands,,14.53904,..,..,8.66987,12.23999,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Martinique,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,,2.43289,..,2.8395,3.05538,3.10349,2.51687,..,2.52458,..,3.55225,..,3.60428,3.05215,2.7758,2.93739,..,..,2.63107,..
Mauritius,,3.93976,3.81526,3.16975,3.11292,4.48438,4.472,4.20155,3.81811,3.1854,3.06307,3.04731,3.55147,3.33207,3.4182,3.61579,4.91695,4.88667,5.0136,5.08204
Mayotte,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mexico,,3.6621,4.13411,4.42832,4.63847,5.18674,4.80018,4.90795,4.74913,4.73198,4.85821,5.21749,5.19197,5.1462,5.16543,4.74242,5.32586,..,..,..
Micronesia (Federated States of),,6.40977,6.70818,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.4595,..,..
Monaco,,1.19528,1.25536,..,..,..,1.24386,..,..,..,..,1.32877,1.32022,1.59142,1.78004,1.3344,1.02195,..,1.37102,..
Mongolia,,5.14566,5.55037,..,7.21078,..,4.32573,..,..,4.69013,..,5.14485,4.6451,4.60903,5.19521,4.94077,4.71485,4.17699,5.18212,..
Montenegro,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Montserrat,,..,..,..,..,..,..,..,..,5.32808,5.24605,5.12753,..,..,..,..,..,..,..,..
Morocco,,5.14016,..,..,..,..,..,..,..,..,5.34215,5.26064,..,..,..,..,..,..,..,..
Mozambique,,3.13107,..,..,..,..,3.71592,4.43013,4.27427,..,..,..,..,..,6.07551,6.48009,..,..,..,..
Myanmar,,..,..,..,..,..,..,..,..,..,..,..,..,0.78744,..,..,..,..,..,2.1657
Namibia,,7.21755,6.99139,6.91282,6.76239,6.11511,..,..,6.03782,..,6.48398,..,8.34961,..,..,..,..,..,..,..
Nauru,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,,2.89331,2.97515,3.70838,3.15283,3.11435,3.17194,3.36464,3.60536,3.51721,3.80517,4.66376,3.63172,3.84262,3.76117,3.47465,3.99302,3.70359,..,..
Netherlands,,4.55721,4.6255,4.75077,4.87039,5.10149,5.11464,5.15879,5.09047,4.93376,5.09227,5.49579,5.5558,5.52617,5.47565,5.59188,5.52931,..,..,..
